542838	1111961
542812	1112128
542897	1112062
542866	1112000
542824	1112038
542784	1112033
542883	1112100
542936	1112178
542973	1112221
542988	1112249
543037	1112146
543060	1112072
543035	1112107
543089	1112134
543091	1112068
543051	1112187
543051	1112159
543076	1112168
543075	1112181
543129	1111992
543101	1111934
543124	1111953
543083	1111884
543093	1111843
543050	1111849
542959	1111917
543059	1111897
543031	1111883
543052	1111915
543038	1112021
543052	1111955
543028	1111884
543078	1111833
543072	1111912
543159	1111921
543108	1111964
543125	1112035
543196	1112033
543301	1112028
543265	1112035
543312	1112046
543279	1112021
543258	1112058
543293	1112063
543297	1112124
543329	1112145
543375	1112161
543429	1112199
543496	1112208
543554	1112316
543583	1112229
543551	1112301
543551	1112315
543629	1112299
543643	1112413
543552	1112341
543552	1112426
543560	1112358
543476	1112322
543476	1112276
543451	1112453
543399	1112488
543406	1112683
543330	1112756
543316	1112896
543292	1112805
543308	1112813
543316	1112789
543316	1112789
543261	1112785
543283	1112792
543192	1112780
543235	1112691
543155	1112802
543109	1112800
543135	1112878
543102	1112901
543097	1112813
543026	1112880
543000	1112921
543000	1112996
543015	1112925
543012	1112965
542967	1113063
542901	1113047
542937	1113150
542954	1113096
542930	1113077
542932	1113003
542909	1112991
542838	1112930
542853	1112924
542770	1112933
542684	1112872
542687	1112767
542629	1112796
542686	1112822
542692	1112700
542687	1112745
542633	1112707
542647	1112617
542576	1112592
542638	1112616
542574	1112457
542509	1112488
542480	1112614
542451	1112558
542366	1112596
542316	1112564
542234	1112649
542185	1112701
542173	1112682
541936	1112650
541936	1112765
541936	1112680
541926	1112650
541838	1112608
541680	1112551
541704	1112630
541704	1112657
541529	1112783
541529	1112775
541602	1112980
541482	1112967
541486	1113005
541486	1112955
541436	1112961
541397	1112984
541382	1113047
541339	1113042
541371	1113099
541410	1113083
541395	1113049
541487	1113067
541465	1113127
541473	1113191
541458	1113162
541515	1113100
541395	1113229
541322	1113321
541370	1113272
541416	1113351
541359	1113304
541364	1113225
541348	1113168
541279	1113253
541213	1113130
541316	1113257
541250	1113101
541122	1113066
541141	1113143
541191	1113096
541075	1113083
541070	1112997
541053	1113073
541062	1113013
540873	1112980
540802	1113038
540763	1112965
540682	1112893
540570	1112876
540490	1112814
540445	1112906
540290	1112862
540220	1112778
540052	1112734
540052	1112654
539945	1112597
539865	1112566
539908	1112483
539918	1112365
539877	1112312
539785	1112361
539795	1112305
539714	1112325
539714	1112334
539608	1112426
539608	1112363
539608	1112315
539604	1112233
539511	1112144
539448	1112167
539479	1112204
539461	1112308
539416	1112391
539382	1112365
539314	1112382
539351	1112459
539324	1112407
539356	1112310
539277	1112386
539273	1112382
